Referencia interna;Nombre
020048;(WP-HT-LANTEST) Wireplus - Lan Tester RJ45 RJ11
080099;Conector 12V Hembra 2.1mm [1 Unidad]
080097;Conector 12V Macho 2.1mm [1 Unidad]
020760;[AB355NXT21] Nexxt - Cable UTP CAT5e (Categoria 5e) 100% Cobre 24AWG CM Interior (Gris) [100m/328ft]
020279;[AC12G] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AC1300 4 Antenas 5dBi
020169;[AC12] Mercusys - Router Inalambrico WiFi Doble Banda AC1200 4 Antenas 5dBi
020415;[AC8] Tenda - Router Inalambrico WiFi Doble Banda Gigabit AC1200 MU-MIMO 4 Antenas 6dBi
020080;[ACC-CON-RJ45CAT5-100] Wireplus - Conector RJ45 CAT5e (Categoria 5e) [100 Unidades]
020005;[ACC-CON-RJ45CAT6-100] Wireplus - Conector RJ45 CAT6 (Categoria 6) [100 Unidades]
020104;[ACC-CON-RJ45CAT6-B-100] Wireplus - Conector RJ45 CAT6 (Categoria 6) Blindado [100 Unidades]
080012;[ACC-TDY-1AMP] Wireplus - Transformador 12V 1Amp
080051;[ACC-TDY-2AMP] Wireplus - Transformador 12V 2Amp
080009;[ACC-TDY-5AMP] Wireplus - Transformador 12V 5Amp
010002;[ACC-VB-02T] Wireplus - Video Balun Pasivo Bornera 400 Metros
021373;[AX12-ARCHER] TP-Link - Router Inalambrico WiFi Doble Banda AX1500 WiFi6 4 Antenas
020530;[C64-ARCHER] TP-Link - Router Inalambrico WiFi Doble Banda AC1200 MU-MIMO 4 Antenas
020304;[C80-ARCHER] TP-Link - Router Inalambrico WiFi Doble Banda AC1900 MU-MIMO 4 Antenas 5dBi
040003;[CAB-ALA-100] Wireplus - Cable Alarma [Caja 100 Metros]
020132;[CAB-UTP5-100-CO] Wireplus - Cable UTP CAT5e (Categoria 5e) 100% Cobre Interior (Gris) [Caja 100 Metros]
020018;[CAB-UTP5-100] Wireplus - Cable UTP CAT5e (Categoria 5e) CCA Interior (Gris) [Caja 100 Metros]
020174;[CAB-UTP5-305] Wireplus - Cable UTP CAT5e (Categoria 5e) CCA Interior (Gris) [Caja 305 Metros]
020007;[CAB-UTP5-50] Wireplus - Cable UTP CAT5e (Categoria 5e) CCA Interior (Gris) [Rollo 50 Metros]
021065;[CAB-UTP6-100-CO-OUT] Wireplus - Cable UTP CAT6 (Categoria 6) 100% Cobre Exterior (Negro) [Caja 100 Metros]
020136;[CAB-UTP6-100-CO] Wireplus - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior (Azul) [Caja 100 Metros]
020082;[CAB-UTP6-100] Wireplus - Cable UTP CAT6 (Categoria 6) CCA Interior (Azul) [Caja 100 Metros]
021066;[CAB-UTP6-305-CO-OUT] Wireplus - Cable UTP CAT6 (Categoria 6) 100% Cobre Exterior (Negro) [Bobina 305 Metros]
020026;[CAB-UTP6-305-CO] Wireplus - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior (Azul) [Caja 305 Metros]
020025;[CAB-UTP6-305] Wireplus - Cable UTP CAT6 (Categoria 6) CCA Interior (Azul) [Caja 305 Metros]
020081;[CAB-UTP6-50] Wireplus - Cable UTP CAT6 (Categoria 6) CCA Interior (Azul) [Rollo 50 Metros]
010338;[CS-C3TN-A0-1H3WKFL-B(2.8mm)] Ezviz - Cámara Bullet Ip Inalambrica HD [3MP] WiFi Lente 2.8mm Exterio/Interior
021457;[CS-RT1-R100-3G0G] Ezviz - Router Wi-Fi 6 Mesh AX3000
020614;[DECO-X50-3PACK] TP-Link - Router Inalambrico WiFi Mesh Doble Banda AX3000 WiFi6 [3 Unidades]
020931;[DECO-X60-3PACK] TP-Link - Router Inalambrico WiFi Mesh Doble Banda AX5400 WiFi6 [3 Unidades]
080207;[DH-PFM320-010US] Dahua - Fuente de Poder Transformador de 12V 1 Amp FCC EN6236B Entrada de 100-240 VAC Protección de Sobre Corriente y Voltaje Cable de 1.5 Mts Especial para Camaras de CCTV
080206;[DH-PFM320D-007-US-EUHA] Dahua - Fuente de Poder Regulada de 12 Vcc 2.8 Amp 4 Canales 0.7 Amper por Canal Protección de Temperatura Color Negro
021792;[DH-PFM915] Dahua - Crimpeador de Conectores RJ45 y RJ11 Multifuncional Cortar y Pelar Cable Cuchilla SK5 Fabricada en Acero A3
021802;[DH-PFM920-5EU] Dahua - Cable UTP CAT5e (Categoria 5e) 100% Cobre 0.50MM 24 AWG Exterior (Negro) [Caja 305 Metros]
022004;[DH-PFM920-6UN] Dahua - Cable UTP CAT6 (Categoria 6) 100% Cobre 0.45MM 24 AWG Exterior (Negro) [Caja 305 Metros]
021675;[DH-PFM920C-A1] Dahua - Cable UTP CAT5e (Categoria 5e) 100% Cobre Interior (Blanco) [Caja 100 Metros]
021676;[DH-PFM920I-5EUN-white] Dahua - Cable UTP CAT5e (Categoria 5e) 100% Cobre 0.45MM Interior (Blanco) [Caja 305 Metros]
021674;[DH-PFM920I-6UN-C-100-white] Dahua - Cable UTP CAT6 (Categoria 6) 100% Cobre 24AWG 0.53MM Interior (Blanco) [Caja 100 Metros]
021981;[DH-PFM920I-6UN-C-white] Dahua - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior 0.53MM Blanco [Caja 305 Metros]
021672;[DH-PFM920I-6UN-CN] Dahua - Cable UTP CAT6 (Categoria 6) 100% Cobre 24AWG 0.53MM Interior (Blanco) [Caja 305 Metros]
021677;[DH-PFM922I-5EUN-C-100] Dahua - Cable UTP CAT5e (Categoria 5e) CCA 24 AWG 0.50MM Interior (Blanco) [Rollo 100 Metros]
021673;[DH-PFM922I-5EUN-C] Dahua - Cable UTP CAT5e (Categoria 5e) CCA 24 AWG 0.50MM Interior (Blanco) [Caja 305 Metros]
021845;[DH-PFM922I-6UN-C-100-orange] Dahua - Cable UTP CAT6 (Categoria 6) CCA 23AWG 0.57MM Interior (Naranja) [Rollo 100 Metros]
021671;[DH-PFM922I-6UN-C] Dahua - Cable UTP CAT6 (Categoria 6) CCA 23AWG 0.57MM Interior (Blanco) [Caja 305 Metros]
021794;[DH-PFM976-530-PT] Dahua - Conector RJ45 Pasante CAT5e (Categoria 5e) 3U 23 AWG a 24 AWG [100 Unidades]
021793;[DH-PFM976-531-PT] Dahua - Conector RJ45 Pasante CAT5e (Categoria 5e) 15U 23 AWG a 24 AWG [100 Unidades]
021790;[DH-PFM976-531] Dahua - Conector RJ45 CAT5e (Categoria 5e) 15U 24 AWG a 26 AWG [100 Unidades]
021694;[DH-PFM976-631] Dahua - Conector RJ45 CAT6 CAT6 (Categoria 6) 15U 24 AWG a 26 AWG [100 Unidades]
010188;[DS-1H18S/E-E] Hikvision - Video Balun HD HDTVI/HDCVI/AHD 200 Metros
020221;[DS-1LN5E-E/E] Hikvision - Cable UTP CAT5e (Categoria 5e) 100% Cobre 0.45mm CMX Interior (Gris) [Caja 305 Metros]
020636;[DS-1LN5E-S] Hikvision - Cable UTP CAT5e (Categoria 5e) 100% Cobre 0.5mm CM Interior (Gris) [Caja 305 Metros]
020604;[DS-1LN5EO-UU/E] Hikvision - Cable UTP CAT5e (Categoria 5e) 100% Cobre Exterior (Negro) [Caja 305 Metros]
020222;[DS-1LN6-UE-W] Hikvision - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior (Blanco) [Caja 305 Metros]
020609;[DS-1LN6-UU] Hikvision - Cable UTP CAT6 (Categoria 6) 100% Cobre (Naranja) [Caja 305 Metros]
021248;[DS-1LN6OUSPE] Hikvision - Cable U/UTP CAT6 (Categoria 6) 100% Cobre 0.55mm Exterior (Negro) [Caja 305 Metros]
020875;[DS-1LN6U-G] Hikvision - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior (Gris) [Caja 305 Metros]
010012;[DS-2CE16C0T-IRF(2.8mm)] Hikvision - Cámara HD Bullet 720P [1MP] Lente 2.8mm [Metalico]
010883;[DS-2CV1023G2-LIDWF(2.8mm)] Hikvision - Cámara WiFi Bullet IP [2Mp] Dual Light (30 mts IR + 30 mts Luz Blanca) Acusense Audio Bidireccional (Micrófono y Bocina)
010881;[DS-2CV1043G2-LIDWF(2.8mm)] Hikvision - Cámara WiFi Bullet IP [4Mp] Dual Light (30 mts IR + 30 mts Luz Blanca) Acusense Audio Bidireccional (Micrófono y Bocina)
010884;[DS-2CV1F23G2-LIDWF(2.8mm)] Hikvision - Cámara WiFi Domo IP [2Mp] Dual Light (30 mts IR + 30 mts Luz Blanca) Acusense Audio Bidireccional (Micrófono y Bocina)
021174;[DS-3WR12C] Hikvision - Router Inalambrico Wisp Doble Banda Hasta 1200Mbps / 4 Puertos 10/100 4 Antenas Omnidireccional 5 dBi
021175;[DS-3WR12GC] Hikvision - Router Inalambrico Wisp Gigabit Doble Banda hasta 1200Mbps 3 Puertos Lan 10/100/1000 + 1 Puerto Wan 10/100/1000 4 Antenas Externas Omnidireccional 5dBi
021370;[DS-3WR15X] Hikvision - Router Inalambrico WIFI6 Doble Banda hasta 1500Mbps 4 Puertos 1000 Mbps  4 Antenas Externas Omnidireccional 5dBi
021616;[DS-3WR18X] Hikvision - Router Inalámbrico Wifi 6 Hasta 1800 Mbps Doble Banda AC (2.4 GHz y 5 GHz) 4 Puertos 1000 Mbps 4 Antenas Omnidireccional Beamforming Optimizado
021617;[DS-3WR30X] Hikvision - Router Inalámbrico Wifi 6 Hasta 3000 Mbps Doble Banda AC (2.4 GHz y 5 GHz) 4 Puertos 1000 Mbps 5 Antenas Omnidireccional Beamforming Optimizado
010924;[DS-J142I/NKS422W02H] Hikvision - Kit IP Inalámbrico [2Mp] NVS 4 Canales Wi-Fi 1 Cámara Bullet Exterior + 1 Cámara Turret Interior con Lente 2.8 mm y Dual Light Audio Bidireccional Soporta Micro SD de 512 GB
010925;[DS-J142I/NKS422W0H] Hikvision - Kit IP Inalámbrico [2Mp] NVS 4 Canales Wi-Fi 2 Cámaras Bullet Exterior con Lente 2.8 mm y Dual Light Audio Bidireccional Soporta Micro SD de 512 GB
010926;[DS-J142I/NKS424W02H] Hikvision - Kit IP Inalámbrico [4Mp] NVS 4 Canales Wi-Fi 1 Cámara Bullet Exterior + 1 Cámara Turret Interior 2.8 mm y Dual Light Audio Bidireccional Soporta Micro SD de 512 GB
061012;[DS-UPS1000-X] Hikvision - UPS 1000VA / 600W [6] Tomas NEMA 5-15R [4 con Respaldo] y [2 sin Respaldo]
061122;[DS-UPS2000-x] Hikvision - UPS 2000VA / 1200W [6] Tomas NEMA 5-15R [4 con Respaldo] y [2 sin Respaldo]
061043;[DS-UPS3000-x] Hikvision - UPS 3000VA / 1800W [6] Tomas NEMA 5-15R [4 con Respaldo] y [2 sin Respaldo]
061013;[DS-UPS600-X] Hikvision - UPS 600VA / 360W [6] Tomas NEMA 5-15R [4 con Respaldo] y [2 sin Respaldo]
020877;[EAP610-Outdoor] TP-Link - Punto de Acceso Inalambrico Doble Banda WiFi6 de Exterior/Interior [Omada]
020337;[EC220-G5] TP-Link - Router Inalambrico WiFi Doble Banda Gigabit AC1200 4 Antenas 5dBi
021059;[EX141] TP-Link - Router Inalambrico Gigabit Doble Banda AX1500 WiFi6
061550;[FT20-BK] Fantech - Audifonos Groove ANC Earbuds Inalámbricos [Negro]
060930;[KP2-EC] Marsriva - Mini UPS 8.000Mha 18W 4 Puertos 2 DC 9V-12V 1,5A 1 PoE 24V 0,75Pasivo 1USB 5V 2,1A
061123;[KP3S] Marsriva - Mini UPS 10000Mah 18W 1 Puertos 
060495;[KP3] Marsriva - Mini UPS 10.000Mah 18W 4 Puertos DC 5V/ 9V/ 12V y USB 5V
060688;[L1250] Epson - Impresora Inyección de Tinta EcoTank USB 2.0/Wi-Fi
060749;[L3250] Epson - Impresora Inyección Tinta Continua 3 en 1 (Impresión, Escaneo, Copiado) EcoTank Multifuncional USB 2.0/Wi-Fi
061497;[L4260] Epson - Impresora Inyección Tinta Continua 3 en 1 (Impresión, Escaneo, Copiado) EcoTank Multifuncional USB 2.0/Wi-Fi
061498;[L5590] Epson - Impresora Inyección Tinta Continua 4 en 1 (Impresión, Escaneo, Copiado, Fax) EcoTank Multifuncional USB 2.0/Wi-Fi/Ethernet
061499;[L6270] Epson - Impresora Inyección Tinta Continua 3 en 1 (Impresión, Escaneo, Copiado) EcoTank Multifuncional USB 2.0/Wi-Fi/Ethernet
021353;[LOG-AC1200] Logan - Router Inalambrico AC1200 Doble Banda 4 Antenas 5dBi
070820;[MR-AVR600] Marsriva - Regulador automático de Voltaje 600VA / 300W
020514;[MR30G] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AC1200 4 Antenas 5dBi
020317;[MR50G] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AC1900 6 Antenas 5dBi
020961;[MR60X] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AX1500 WiFi6 4 Antenas
021441;[MR62X] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AX1500 WiFi6 4 Antenas
020488;[MR70X] Mercusys - Router Inalambrico WiFi Doble Banda AX1800 4 Antenas 5dBi
020653;[MR80X] Mercusys - Router Inalambrico WiFi Doble Banda Gigabit AX3000 WiFi6 4 Antenas
061527;[PBH-360W] Primus - Audifonos ARCUS360T Gaming Inalambricos con Microfono Dongle USB [Blanco]
061526;[PHS-151] Primus - Audifonos ARCUS151T Gaming Alambricos con Microfono USB [Negro]
061529;[PKS-060WS] Primus - Teclado Ballista61T Alambrico Mecanico Con Iluminación SW Rojo [Español] [Blanco]
061523;[PKS-093S] Primus - Teclado Mecánico Ballista91T Alambrico Gaming [Español]
061531;[PMC-01BT] Primus - Gamedpad Inalambrico Gaming Bluetooth
061528;[PMIL-10BT] Primus - Set de Micrófonos Inalambricos con Estuche de Carga [Negro]
061524;[PMO-103] Primus - Mouse Alambrico Gladius Gaming RGB 8 Botones
061525;[PMOW-203] Primus - Mouse Inalambrico Gladius DM10 Gaming RGB 6 Botones Conexión Dual
021238;[POWER-DROP-G57A1-1KM-1] Power Fiber - Cable Drop Outdoor de Fibra Optica FTTH 1 Hilo G57A1 [Bobina 1000 Metros]
021239;[POWER-DROP-G57A1-1KM-2] Power Fiber - Cable Drop Outdoor de Fibra Optica FTTH 2 Hilos G57A1 [Bobina 1000 Metros]
021240;[POWER-DROP-G57A1-1KM-4] Power Fiber - Cable Drop Outdoor de Fibra Optica FTTH 4 Hilos G57A1 [Bobina 1000 Metros]
021241;[POWER-DROP-G57A1-1KM-6] Power Fiber - Cable Drop Outdoor de Fibra Optica FTTH 6 Hilos G57A1 [Bobina 1000 Metros]
061530;[PWC-300] Primus - Cámara Web Visus 2K 2560x1440P 60FPS Usb
020657;[STC-CAT5E-305G] STC- Cable UTP CAT5e (Categoria 5e) CCA Interior (Gris) [Caja 305 Metros]
021696;[TL-EC5E-100B] TP-Link - Cable UTP CAT5e (Categoria 5e) 100% Cobre Interior (Gris) [Caja 100 Metros]
021697;[TL-EC5E-305B] TP-Link - Cable UTP CAT5e (Categoria 5e) 100% Cobre Interior (Gris) [Caja 305 Metros]
021698;[TL-EC6-100] TP-Link - Cable UTP CAT6 (Categoria 6) 100% Cobre Interior (Azul) [Caja 100 Metros]
020894;[TX2PRO] Tenda - Router Inalambrico WiFi Doble Banda Gigabit AX1500 WiFi6 5 Antenas 6dBi
020275;[UB-AM] Ubiquiti - Montaje de Brazo Universal
061147;[WGP13S-BLACK] Fantech - Gamepad Shooter III Inalámbrico [Negro]
061103;[WGP14V2-EPSILON] Fantech - Gamepad Fantech Nova Pro Inalámbrico 
061307;[WGP14V2-POLARIS] Fantech - Gamepad Nova PRO Inalambrico
021387;[WP-AX1500] Wireplus - Router Inalambrico WiFi Doble Banda AX1500 WiFi6 4 Antenas
021386;[WP-AX3000] Wireplus - Router Inalambrico WiFi Doble Banda AX3000 WiFi6 4 Antenas
070218;[WP-CANA1010-2M-1UND] Wireplus - Canaleta PVC Multiuso con Pegamento 10x10x2000 [Unidad]
070219;[WP-CANA2010-2M-1UND] Wireplus - Canaleta PVC Multiuso con Pegamento 20x10x2000 [Unidad]
070223;[WP-CANA4025-2M-1UND] Wireplus - Canaleta PVC Multiuso con Pegamento 40x25x2000 [Unidad]
070150;[WP-CANA7020-2M-1UND] Wireplus - Canaleta Piso Multiuso con Pegamento 70x20x2000 [Unidad]
060976;[WP-MINI-21W] Wireplus - Mini UPS 21w 2200Mahx4 120v/ac  input output USB 5v Dc 9V o 12v poe 15V/24V
021160;[WP-RJ45CAT6-EZ] Wireplus - Conector RJ45 EZ CAT6 (Categoria 6) Pass-Through Pasante [100 Unidades]
020084;[WP-UTPC5-100OUT] Wireplus - Cable UTP CAT5e (Categoria 5e) CCA Exterior (Negro) [Caja 100 Metros]
020065;[WP-UTPC5-305OUT] Wireplus - Cable UTP CAT5e (Categoria 5e) CCA Exterior (Negro) [Bobina 305 Metros]
020086;[WP-UTPC6-100OUT] Wireplus - Cable UTP CAT6 (Categoria 6) CCA Exterior (Negro) [Caja 100 Metros]
020059;[WP-UTPC6-305OUT] Wireplus - Cable UTP CAT6 (Categoria 6) CCA Exterior (Negro) [Bobina 305 Metros]
020685;[WPF-KIT-FIB] Wireplus - Kit FTTH Herramientas de Instalacion Fibra
010910;[iDS-7204HQHI-M1/XT(STD)] Hikvision - DVR 3K Lite [5MP] Pentahibrido Audio Bidireccional AcuSense 4 Canales TurboHD + 2 Canales IP
011085;[iDS-7204HUHI-M1/XT(STD)/4A+4/1ALM] DVR Hikvision 4CH TurboHD iDS-7204HUHI-M1/XT 4MP
010795;[iDS-7216HQHI-M2/S(STD)(C)] Hikvision - DVR 3K [5MP] Pentahibrido AcuSense 16 Canales TurboHD + 8 Canales IP
021928;(BS-466) Wireplus - Lan Tester RJ45 RJ11 [Negro]
010084;Adaptador BNC Hembra a RCA Hembra [Unidad]
010037;Adaptador BNC Hembra a RCA Macho [10 Unidades]
010086;Adaptador BNC Hembra a RCA Macho [Unidad]
010032;Adaptador BNC Macho a RCA Hembra [10 Unidades]
010082;Adaptador BNC Macho a RCA Hembra [Unidad]
060449;Adaptador DVI 24+5 Macho a HDMI Hembra
060082;Adaptador DVI-I 24+1 Macho a HDMI Hembra
060049;Adaptador DVI-I 24+5 Hembra a HDMI Macho
060032;Adaptador DVI-I 24+5 Macho a VGA-H
060089;Adaptador HDMI Macho a HDMI Hembra 270°
010083;Adaptador Union BNC Macho Doble [Unidad]
050115;Bombillo LED Foco 3D Tipo Mazorca AKSI
050103;Bombillo LED Vintage Zepellin 8W AKSI
060103;Cable Adaptador Paralelo DB25 a USB
060086;Cable Adaptador Paralelo DB36 a USB
080023;Cable Audio Auxiliar 3.5mm M/M [1.5 Metros]
080058;Cable Audio Plug 3.5mm a RCA [1.5 Metros]
080025;Cable Audio Plug 3.5mm a RCA [3 Metros]
080026;Cable Audio Plug 3.5mm a RCA [5 Metros]
080021;Cable Audio y Video [3] RCA [1.5 Metros]
080077;Cable Audio y Video [3] RCA [3Metros]
060056;Cable Coaxial Antena WiFi [9 Metros]
060389;Cable HDMI Macho Doble HD Goma Negro [10 Metros]
060469;Cable HDMI Macho Doble HD Goma Negro [20 Metros]
060009;Cable HDMI Macho Doble HD Nylon [10 Metros]
060008;Cable HDMI Macho Doble HD Nylon [5 Metros]
060050;Cable HDMI Macho a Mini HDMI Macho [1.5 Metros]
060090;Cable SATA Data Con Seguro
060054;Cable SATA Data Sin Seguro
060053;Cable SATA de Poder
060025;Cable VGA Macho a Macho [3 Metros] 
060873;Combo Teclado (ingles) Ratón Wifi usb y cable de poder QR-70
080098;Conector 12V Hembra 2.1mm [100 Unidades]
080203;Conector 12V Hembra 2.1mm [20 Unidad]
080096;Conector 12V Macho 2.1mm [100 Unidades]
080204;Conector 12V Macho 2.1mm [20 Unidad]
020374;Conector Jack Coupler RJ45 CAT5e (Categoria 5e) (Blanco) QNET [Unidad]
020258;Conector RG6 Coaxial [Unidad]
020125;Conector RJ11 [Unidad]
080085;Convertidor Mini DisplayPort-M a HDMI Hembra
080084;Convertidor Mini DisplayPort-M a VGA-H
080029;Convertidor Video RCA Hembra a HDMI Hembra
080027;Convertidor Video VGA-H a HDMI Hembra C/Audio
080028;Convertidor Video VGA/RCA y S-VIDEO/RCA
060283;Disipador Liquido AIGO V240
060500;Extensor HDMI Hembra a RJ45 Activo [120 Metros]
060029;Extensor HDMI Hembra a RJ45 Activo [50 Metros]
060113;Extensor HDMI Hembra a RJ45 Activo [60 Metros]
060022;Extensor HDMI Macho a RJ45 Pasivo 2C [30 Metros]
060030;Extensor USB a RJ45 Pasivo [45 Metros]
